relativePath,problemClass,statusFolder,distance,normalizedCanonicalDistance,leftCanonicalFormSize,rightCanonicalFormSize,canonicalFormSize,predicateBodyLevenshteinDistance,rawAstTreeDistance,normalizedRawAstDistance,leftRawAstSize,rightRawAstSize,rawAstSize,candidateReward,groundTruthReward,rewardGap,rewardError
classroom_fol/BOTH/parsed-file1434_inv13.als,classroom_fol,BOTH,13.0,1.0,9.0,13.0,13.0,44.0,19.0,1.055556,18.0,18.0,18.0,0.9,1.0,0.1,0.09999999999999998
classroom_fol/BOTH/parsed-file1435_inv15.als,classroom_fol,BOTH,46.0,0.938776,49.0,10.0,49.0,181.0,61.0,0.910448,67.0,17.0,67.0,0.1,1.0,0.9,0.9
classroom_fol/BOTH/parsed-file1438_inv14.als,classroom_fol,BOTH,20.0,0.833333,24.0,23.0,24.0,52.0,54.0,1.227273,44.0,42.0,44.0,0.2,1.0,0.8,0.8
classroom_fol/BOTH/parsed-file143_inv6.als,classroom_fol,BOTH,7.0,0.777778,9.0,7.0,9.0,44.0,18.0,1.058824,17.0,9.0,17.0,0.3,1.0,0.7,0.7
classroom_fol/BOTH/parsed-file1449_inv6.als,classroom_fol,BOTH,7.0,0.777778,9.0,7.0,9.0,44.0,18.0,1.058824,17.0,9.0,17.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1458_inv14.als,classroom_fol,BOTH,21.0,0.913043,6.0,23.0,23.0,125.0,43.0,1.02381,7.0,42.0,42.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1459_inv12.als,classroom_fol,BOTH,8.0,0.727273,11.0,8.0,11.0,42.0,19.0,0.826087,23.0,15.0,23.0,0.63,1.0,0.37,0.37
classroom_fol/BOTH/parsed-file1460_inv11.als,classroom_fol,BOTH,20.0,0.909091,22.0,14.0,22.0,83.0,33.0,0.846154,39.0,21.0,39.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1468_inv5.als,classroom_fol,BOTH,7.0,0.777778,9.0,6.0,9.0,52.0,20.0,1.052632,19.0,7.0,19.0,0.7,1.0,0.3,0.30000000000000004
classroom_fol/BOTH/parsed-file1472_inv14.als,classroom_fol,BOTH,22.0,0.956522,11.0,23.0,23.0,76.0,47.0,1.119048,27.0,42.0,42.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1481_inv5.als,classroom_fol,BOTH,5.0,0.833333,5.0,6.0,6.0,16.0,8.0,1.142857,6.0,7.0,7.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1488_inv4.als,classroom_fol,BOTH,8.0,0.8,10.0,7.0,10.0,44.0,17.0,1.0625,16.0,9.0,16.0,0.9,1.0,0.1,0.09999999999999998
classroom_fol/BOTH/parsed-file1494_inv14.als,classroom_fol,BOTH,18.0,0.75,24.0,23.0,24.0,52.0,49.0,1.065217,46.0,42.0,46.0,0.4,1.0,0.6,0.6
classroom_fol/BOTH/parsed-file1498_inv11.als,classroom_fol,BOTH,14.0,0.823529,17.0,14.0,17.0,62.0,26.0,0.8125,32.0,21.0,32.0,0.7,1.0,0.3,0.30000000000000004
classroom_fol/BOTH/parsed-file1505_inv14.als,classroom_fol,BOTH,8.0,0.347826,23.0,23.0,23.0,30.0,47.0,1.068182,44.0,42.0,44.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file150_inv12.als,classroom_fol,BOTH,9.0,1.125,8.0,8.0,8.0,44.0,15.0,0.714286,21.0,15.0,21.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1510_inv11.als,classroom_fol,BOTH,15.0,1.071429,11.0,14.0,14.0,39.0,18.0,0.72,25.0,21.0,25.0,0.35,1.0,0.65,0.65
classroom_fol/BOTH/parsed-file1512_inv14.als,classroom_fol,BOTH,12.0,0.521739,16.0,23.0,23.0,58.0,41.0,0.97619,31.0,42.0,42.0,0.16,1.0,0.84,0.84
classroom_fol/BOTH/parsed-file1513_inv14.als,classroom_fol,BOTH,22.0,0.88,25.0,23.0,25.0,89.0,56.0,1.191489,47.0,42.0,47.0,0.6,1.0,0.4,0.4
classroom_fol/BOTH/parsed-file151_inv13.als,classroom_fol,BOTH,13.0,1.0,9.0,13.0,13.0,50.0,19.0,1.055556,18.0,18.0,18.0,0.9,1.0,0.1,0.09999999999999998
classroom_fol/BOTH/parsed-file1523_inv4.als,classroom_fol,BOTH,7.0,0.7,10.0,7.0,10.0,46.0,18.0,1.0,18.0,9.0,18.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1525_inv9.als,classroom_fol,BOTH,7.0,0.777778,7.0,9.0,9.0,26.0,9.0,0.6,12.0,15.0,15.0,0.04,1.0,0.96,0.96
classroom_fol/BOTH/parsed-file1534_inv11.als,classroom_fol,BOTH,16.0,0.888889,18.0,14.0,18.0,76.0,31.0,0.815789,38.0,21.0,38.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1537_inv12.als,classroom_fol,BOTH,22.0,0.88,25.0,8.0,25.0,92.0,33.0,0.868421,38.0,15.0,38.0,0.08,1.0,0.92,0.92
classroom_fol/BOTH/parsed-file1537_inv13.als,classroom_fol,BOTH,15.0,0.882353,17.0,13.0,17.0,54.0,27.0,1.125,24.0,18.0,24.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1546_inv12.als,classroom_fol,BOTH,8.0,0.727273,11.0,8.0,11.0,45.0,19.0,0.76,25.0,15.0,25.0,0.48,1.0,0.52,0.52
classroom_fol/BOTH/parsed-file1554_inv11.als,classroom_fol,BOTH,16.0,0.888889,18.0,14.0,18.0,80.0,28.0,0.777778,36.0,21.0,36.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1557_inv15.als,classroom_fol,BOTH,43.0,0.955556,45.0,10.0,45.0,227.0,75.0,0.9375,80.0,17.0,80.0,0.6,1.0,0.4,0.4
classroom_fol/BOTH/parsed-file1559_inv14.als,classroom_fol,BOTH,8.0,0.347826,23.0,23.0,23.0,66.0,64.0,1.391304,46.0,42.0,46.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1567_inv6.als,classroom_fol,BOTH,4.0,0.571429,7.0,7.0,7.0,17.0,6.0,0.666667,9.0,9.0,9.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1569_inv13.als,classroom_fol,BOTH,13.0,1.0,9.0,13.0,13.0,44.0,19.0,1.055556,18.0,18.0,18.0,0.9,1.0,0.1,0.09999999999999998
classroom_fol/BOTH/parsed-file1579_inv12.als,classroom_fol,BOTH,15.0,0.833333,18.0,8.0,18.0,103.0,35.0,0.875,40.0,15.0,40.0,0.08,1.0,0.92,0.92
classroom_fol/BOTH/parsed-file1590_inv14.als,classroom_fol,BOTH,8.0,0.347826,23.0,23.0,23.0,36.0,54.0,1.227273,44.0,42.0,44.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1597_inv11.als,classroom_fol,BOTH,23.0,0.92,25.0,14.0,25.0,93.0,32.0,0.842105,38.0,21.0,38.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1599_inv14.als,classroom_fol,BOTH,13.0,0.565217,16.0,23.0,23.0,71.0,52.0,1.238095,33.0,42.0,42.0,0.12,1.0,0.88,0.88
classroom_fol/BOTH/parsed-file1600_inv11.als,classroom_fol,BOTH,21.0,0.954545,22.0,14.0,22.0,87.0,35.0,0.875,40.0,21.0,40.0,0.4,1.0,0.6,0.6
classroom_fol/BOTH/parsed-file1604_inv11.als,classroom_fol,BOTH,15.0,1.071429,11.0,14.0,14.0,39.0,20.0,0.8,25.0,21.0,25.0,0.35,1.0,0.65,0.65
classroom_fol/BOTH/parsed-file1606_inv14.als,classroom_fol,BOTH,20.0,0.869565,10.0,23.0,23.0,75.0,33.0,0.785714,24.0,42.0,42.0,0.12,1.0,0.88,0.88
classroom_fol/BOTH/parsed-file1610_inv12.als,classroom_fol,BOTH,22.0,0.916667,24.0,8.0,24.0,113.0,34.0,0.809524,42.0,15.0,42.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1612_inv12.als,classroom_fol,BOTH,15.0,0.833333,18.0,8.0,18.0,85.0,31.0,0.861111,36.0,15.0,36.0,0.6,1.0,0.4,0.4
classroom_fol/BOTH/parsed-file1615_inv15.als,classroom_fol,BOTH,29.0,0.90625,32.0,10.0,32.0,112.0,36.0,0.837209,43.0,17.0,43.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1618_inv12.als,classroom_fol,BOTH,5.0,0.555556,9.0,8.0,9.0,11.0,7.0,0.466667,15.0,15.0,15.0,0.48,1.0,0.52,0.52
classroom_fol/BOTH/parsed-file1627_inv11.als,classroom_fol,BOTH,12.0,0.8,15.0,14.0,15.0,46.0,21.0,0.777778,27.0,21.0,27.0,0.1,1.0,0.9,0.9
classroom_fol/BOTH/parsed-file1633_inv5.als,classroom_fol,BOTH,7.0,0.777778,9.0,6.0,9.0,53.0,20.0,1.052632,19.0,7.0,19.0,0.980392,1.0,0.019608,0.01960799999999996
classroom_fol/BOTH/parsed-file1636_inv12.als,classroom_fol,BOTH,13.0,0.866667,15.0,8.0,15.0,86.0,29.0,0.90625,32.0,15.0,32.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1647_inv14.als,classroom_fol,BOTH,30.0,1.071429,28.0,23.0,28.0,84.0,47.0,1.068182,44.0,42.0,44.0,0.8,1.0,0.2,0.19999999999999996
classroom_fol/BOTH/parsed-file1650_inv11.als,classroom_fol,BOTH,15.0,0.882353,17.0,14.0,17.0,66.0,24.0,0.75,32.0,21.0,32.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1653_inv11.als,classroom_fol,BOTH,19.0,0.904762,21.0,14.0,21.0,88.0,34.0,0.894737,38.0,21.0,38.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1655_inv12.als,classroom_fol,BOTH,29.0,0.935484,31.0,8.0,31.0,147.0,46.0,0.92,50.0,15.0,50.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1660_inv14.als,classroom_fol,BOTH,7.0,0.304348,23.0,23.0,23.0,31.0,46.0,1.045455,44.0,42.0,44.0,0.3,1.0,0.7,0.7
classroom_fol/BOTH/parsed-file1663_inv8.als,classroom_fol,BOTH,15.0,0.789474,19.0,7.0,19.0,75.0,24.0,0.8,30.0,12.0,30.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1666_inv13.als,classroom_fol,BOTH,15.0,0.882353,17.0,13.0,17.0,54.0,27.0,1.125,24.0,18.0,24.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1669_inv5.als,classroom_fol,BOTH,10.0,0.833333,12.0,6.0,12.0,68.0,24.0,1.043478,23.0,7.0,23.0,0.980392,1.0,0.019608,0.01960799999999996
classroom_fol/BOTH/parsed-file1670_inv11.als,classroom_fol,BOTH,15.0,1.071429,11.0,14.0,14.0,39.0,20.0,0.8,25.0,21.0,25.0,0.35,1.0,0.65,0.65
classroom_fol/BOTH/parsed-file1671_inv11.als,classroom_fol,BOTH,15.0,1.0,15.0,14.0,15.0,57.0,25.0,0.892857,28.0,21.0,28.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1680_inv13.als,classroom_fol,BOTH,13.0,0.8125,16.0,13.0,16.0,73.0,33.0,1.1,30.0,18.0,30.0,0.1,1.0,0.9,0.9
classroom_fol/BOTH/parsed-file168_inv4.als,classroom_fol,BOTH,7.0,0.7,10.0,7.0,10.0,34.0,17.0,1.0625,16.0,9.0,16.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1690_inv12.als,classroom_fol,BOTH,8.0,0.727273,11.0,8.0,11.0,47.0,19.0,0.76,25.0,15.0,25.0,0.63,1.0,0.37,0.37
classroom_fol/BOTH/parsed-file1694_inv14.als,classroom_fol,BOTH,20.0,0.869565,10.0,23.0,23.0,92.0,31.0,0.738095,20.0,42.0,42.0,0.0,1.0,1.0,1.0
