Picked up JAVA_TOOL_OPTIONS: -Xmx8g -XX:+ExitOnOutOfMemoryError -XX:ErrorFile=/home/augustus/acgn-v215-full-20260908T190500Z/control/logs/hs_err_pid%p.log -Djava.io.tmpdir=/home/augustus/acgn-v215-full-20260908T190500Z/control/tmp
EGraphAblationStudy/typed-slotted-port-egraph: processing 66,080 files with 16 workers.
EGraphAblationStudy/typed-slotted-port-egraph: 571/66,080 complete (0.9%), 18.98 files/s, ETA 57m 32s.
EGraphAblationStudy/typed-slotted-port-egraph: 27,000/66,080 complete (40.9%), 22.82 files/s, ETA 28m 33s.
EGraphAblationStudy/typed-slotted-port-egraph: 28,000/66,080 complete (42.4%), 23.16 files/s, ETA 27m 24s.
EGraphAblationStudy/typed-slotted-port-egraph: 28,603/66,080 complete (43.3%), 23.09 files/s, ETA 27m 03s.
EGraphAblationStudy/typed-slotted-port-egraph: 29,000/66,080 complete (43.9%), 23.09 files/s, ETA 26m 46s.
EGraphAblationStudy/typed-slotted-port-egraph: 29,858/66,080 complete (45.2%), 23.22 files/s, ETA 26m 00s.
EGraphAblationStudy/typed-slotted-port-egraph: 30,000/66,080 complete (45.4%), 23.20 files/s, ETA 25m 55s.
EGraphAblationStudy/typed-slotted-port-egraph: 30,607/66,080 complete (46.3%), 23.13 files/s, ETA 25m 33s.
EGraphAblationStudy/typed-slotted-port-egraph: 31,000/66,080 complete (46.9%), 23.24 files/s, ETA 25m 09s.
EGraphAblationStudy/typed-slotted-port-egraph: 31,781/66,080 complete (48.1%), 23.30 files/s, ETA 24m 32s.
EGraphAblationStudy/typed-slotted-port-egraph: 32,000/66,080 complete (48.4%), 23.26 files/s, ETA 24m 25s.
EGraphAblationStudy/typed-slotted-port-egraph: 32,962/66,080 complete (49.9%), 23.45 files/s, ETA 23m 32s.
EGraphAblationStudy/typed-slotted-port-egraph: 33,000/66,080 complete (49.9%), 23.46 files/s, ETA 23m 30s.
EGraphAblationStudy/typed-slotted-port-egraph: 33,654/66,080 complete (50.9%), 23.42 files/s, ETA 23m 04s.
EGraphAblationStudy/typed-slotted-port-egraph: 34,000/66,080 complete (51.5%), 23.36 files/s, ETA 22m 53s.
EGraphAblationStudy/typed-slotted-port-egraph: 34,675/66,080 complete (52.5%), 23.34 files/s, ETA 22m 25s.
EGraphAblationStudy/typed-slotted-port-egraph: 35,000/66,080 complete (53.0%), 23.28 files/s, ETA 22m 15s.
EGraphAblationStudy/typed-slotted-port-egraph: 35,478/66,080 complete (53.7%), 23.13 files/s, ETA 22m 03s.
EGraphAblationStudy/typed-slotted-port-egraph: 36,000/66,080 complete (54.5%), 23.04 files/s, ETA 21m 45s.
EGraphAblationStudy/typed-slotted-port-egraph: 36,501/66,080 complete (55.2%), 22.92 files/s, ETA 21m 30s.
EGraphAblationStudy/typed-slotted-port-egraph: 37,000/66,080 complete (56.0%), 22.84 files/s, ETA 21m 13s.
EGraphAblationStudy/typed-slotted-port-egraph: 37,573/66,080 complete (56.9%), 22.77 files/s, ETA 20m 52s.
EGraphAblationStudy/typed-slotted-port-egraph: 38,000/66,080 complete (57.5%), 22.68 files/s, ETA 20m 38s.
EGraphAblationStudy/typed-slotted-port-egraph: 38,537/66,080 complete (58.3%), 22.60 files/s, ETA 20m 19s.
EGraphAblationStudy/typed-slotted-port-egraph: 39,000/66,080 complete (59.0%), 22.51 files/s, ETA 20m 03s.
EGraphAblationStudy/typed-slotted-port-egraph: 39,512/66,080 complete (59.8%), 22.42 files/s, ETA 19m 45s.
EGraphAblationStudy/typed-slotted-port-egraph: 40,000/66,080 complete (60.5%), 22.42 files/s, ETA 19m 23s.
EGraphAblationStudy/typed-slotted-port-egraph: 40,855/66,080 complete (61.8%), 22.52 files/s, ETA 18m 40s.
EGraphAblationStudy/typed-slotted-port-egraph: 41,000/66,080 complete (62.0%), 22.55 files/s, ETA 18m 32s.
EGraphAblationStudy/typed-slotted-port-egraph: 41,782/66,080 complete (63.2%), 22.60 files/s, ETA 17m 55s.
EGraphAblationStudy/typed-slotted-port-egraph: 42,000/66,080 complete (63.6%), 22.65 files/s, ETA 17m 43s.
EGraphAblationStudy/typed-slotted-port-egraph: 42,760/66,080 complete (64.7%), 22.69 files/s, ETA 17m 08s.
EGraphAblationStudy/typed-slotted-port-egraph: 43,000/66,080 complete (65.1%), 22.70 files/s, ETA 16m 57s.
EGraphAblationStudy/typed-slotted-port-egraph: 43,927/66,080 complete (66.5%), 22.83 files/s, ETA 16m 10s.
EGraphAblationStudy/typed-slotted-port-egraph: 44,000/66,080 complete (66.6%), 22.83 files/s, ETA 16m 07s.
EGraphAblationStudy/typed-slotted-port-egraph: 44,836/66,080 complete (67.9%), 22.91 files/s, ETA 15m 27s.
EGraphAblationStudy/typed-slotted-port-egraph: 45,000/66,080 complete (68.1%), 22.90 files/s, ETA 15m 21s.
EGraphAblationStudy/typed-slotted-port-egraph: 45,482/66,080 complete (68.8%), 22.80 files/s, ETA 15m 04s.
EGraphAblationStudy/typed-slotted-port-egraph: 45,944/66,080 complete (69.5%), 22.69 files/s, ETA 14m 48s.
EGraphAblationStudy/typed-slotted-port-egraph: 46,000/66,080 complete (69.6%), 22.68 files/s, ETA 14m 45s.
EGraphAblationStudy/typed-slotted-port-egraph: 46,488/66,080 complete (70.4%), 22.58 files/s, ETA 14m 28s.
EGraphAblationStudy/typed-slotted-port-egraph: 47,000/66,080 complete (71.1%), 22.58 files/s, ETA 14m 05s.
EGraphAblationStudy/typed-slotted-port-egraph: 47,602/66,080 complete (72.0%), 22.54 files/s, ETA 13m 40s.
EGraphAblationStudy/typed-slotted-port-egraph: 48,000/66,080 complete (72.6%), 22.53 files/s, ETA 13m 23s.
EGraphAblationStudy/typed-slotted-port-egraph: 48,541/66,080 complete (73.5%), 22.46 files/s, ETA 13m 01s.
EGraphAblationStudy/typed-slotted-port-egraph: 49,000/66,080 complete (74.2%), 22.42 files/s, ETA 12m 42s.
EGraphAblationStudy/typed-slotted-port-egraph: 49,503/66,080 complete (74.9%), 22.34 files/s, ETA 12m 22s.
EGraphAblationStudy/typed-slotted-port-egraph: 49,961/66,080 complete (75.6%), 22.25 files/s, ETA 12m 05s.
EGraphAblationStudy/typed-slotted-port-egraph: 50,000/66,080 complete (75.7%), 22.24 files/s, ETA 12m 03s.
EGraphAblationStudy/typed-slotted-port-egraph: 50,456/66,080 complete (76.4%), 22.14 files/s, ETA 11m 46s.
EGraphAblationStudy/typed-slotted-port-egraph: 50,920/66,080 complete (77.1%), 22.06 files/s, ETA 11m 27s.
EGraphAblationStudy/typed-slotted-port-egraph: 51,000/66,080 complete (77.2%), 22.04 files/s, ETA 11m 24s.
EGraphAblationStudy/typed-slotted-port-egraph: 51,515/66,080 complete (78.0%), 21.98 files/s, ETA 11m 03s.
EGraphAblationStudy/typed-slotted-port-egraph: 52,000/66,080 complete (78.7%), 21.99 files/s, ETA 10m 40s.
EGraphAblationStudy/typed-slotted-port-egraph: 52,897/66,080 complete (80.0%), 22.09 files/s, ETA 9m 57s.
EGraphAblationStudy/typed-slotted-port-egraph: 53,000/66,080 complete (80.2%), 22.10 files/s, ETA 9m 52s.
EGraphAblationStudy/typed-slotted-port-egraph: 53,813/66,080 complete (81.4%), 22.16 files/s, ETA 9m 14s.
EGraphAblationStudy/typed-slotted-port-egraph: 54,000/66,080 complete (81.7%), 22.17 files/s, ETA 9m 05s.
EGraphAblationStudy/typed-slotted-port-egraph: 54,687/66,080 complete (82.8%), 22.17 files/s, ETA 8m 34s.
EGraphAblationStudy/typed-slotted-port-egraph: 55,000/66,080 complete (83.2%), 22.18 files/s, ETA 8m 20s.
EGraphAblationStudy/typed-slotted-port-egraph: 55,511/66,080 complete (84.0%), 22.12 files/s, ETA 7m 58s.
EGraphAblationStudy/typed-slotted-port-egraph: 55,682/66,080 complete (84.3%), 21.92 files/s, ETA 7m 54s.
EGraphAblationStudy/typed-slotted-port-egraph: 56,000/66,080 complete (84.7%), 21.85 files/s, ETA 7m 41s.
EGraphAblationStudy/typed-slotted-port-egraph: 56,575/66,080 complete (85.6%), 21.82 files/s, ETA 7m 16s.
EGraphAblationStudy/typed-slotted-port-egraph: 57,000/66,080 complete (86.3%), 21.95 files/s, ETA 6m 54s.
EGraphAblationStudy/typed-slotted-port-egraph: 58,000/66,080 complete (87.8%), 22.27 files/s, ETA 6m 03s.
EGraphAblationStudy/typed-slotted-port-egraph: 59,000/66,080 complete (89.3%), 22.57 files/s, ETA 5m 14s.
EGraphAblationStudy/typed-slotted-port-egraph: 60,000/66,080 complete (90.8%), 22.81 files/s, ETA 4m 27s.
EGraphAblationStudy/typed-slotted-port-egraph: 61,000/66,080 complete (92.3%), 23.09 files/s, ETA 3m 40s.
EGraphAblationStudy/typed-slotted-port-egraph: 62,000/66,080 complete (93.8%), 23.39 files/s, ETA 2m 54s.
EGraphAblationStudy/typed-slotted-port-egraph: 63,000/66,080 complete (95.3%), 23.66 files/s, ETA 2m 10s.
EGraphAblationStudy/typed-slotted-port-egraph: 64,000/66,080 complete (96.9%), 23.95 files/s, ETA 1m 27s.
EGraphAblationStudy/typed-slotted-port-egraph: 65,000/66,080 complete (98.4%), 24.29 files/s, ETA 0m 44s.
EGraphAblationStudy/typed-slotted-port-egraph: 66,000/66,080 complete (99.9%), 24.61 files/s, ETA 0m 03s.
EGraphAblationStudy/typed-slotted-port-egraph: 66,080/66,080 complete (100.0%), 24.62 files/s, ETA 0m 00s.
EGraphAblationStudy/typed-slotted-port-egraph/retry: processing 0 files.
EGraphAblationStudy/typed-slotted-port-egraph/retry: 0/0 complete (100.0%), 0.00 files/s, ETA 0m 00s.
Completed typed-slotted-port-egraph on 61598/66080 predicate pairs (skipped 4482 AST-identical pairs) in 2683.554 s.
