relativePath,status,raw-egraph,raw-egraph-debruijn,java-egglog,java-egglog-debruijn,slotted-egraph,canonical,typed-slotted-port-egraph
"classroom_fol/correct/D6fehfQKXrMXpfthK_inv3.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/DBqNYAdeuEgXudxgR_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/DHpPesE6Sz3RAxw8t_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/DNyRHWPKTzN4PYYkA_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/DZgSFYrzNtQxK7H4T_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/DtDHrTbjfm8qHHKcG_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/EcZdGbbtF7KiTjyuH_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/EgXTvaQcaGHo7DuxP_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/Ewp2GxmiHBaLkRWuE_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/FBxtDGTP9kgAyfJ2M_inv4.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/FPRL4ydbBhL9RMEkN_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/FQwXvLfsHybyndn3F_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/FfEBd7FCsk8ARjwev_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/G4mER8JZ5aEYv8f5x_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/G8exR2S7mD8X8qsuo_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/GCQvMMc2dnZq9t4ga_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/GEghdT8oiHqroG7rC_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/GwLJGhSyHnZ6oWhYw_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/GwwyaMharqbDjea4w_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/H5ANQRQJtE4zwBPsL_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/H5aBt6cMhot6Pm7Te_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/Ha99DPFqxqzvx8A2v_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/HpSowbShmbccGnegS_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/HueKg36wscqJqnQ6i_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/J7koAZb9Z6HsTiwf5_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/JSHPuapkLousPQGWk_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/JSr2EBq8dxoEaKrwN_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/Jrzm4xt9PnFCTjQmN_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/Jv2HJX4yFjH5v9t8w_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/LDnqpJrKLxhWkjsPE_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/LRNurngCPufXdKRgS_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/LfWo9HwQdC9qzDPf6_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/Li67k43owd9Qwqxzv_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/Lyb7y5BY2R9gaY4Qi_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/M7DwJ7m8DTiEQEzBs_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/MCZEA5xDRfnrmGzC9_inv7.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/MNZAa5kD9rSnDCMMJ_inv4.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/MajuW8ePCNYWHdmCP_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/MmW6rg7kNGLjbSDR7_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/N98Qgou6dpybxiRvC_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/NR62BqTREnSs8AMAX_inv12.als","CORRECT",false,true,false,true,true,true,true
"classroom_fol/correct/NWRYbNDKArCGJAiw2_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/NnahnRbpkKq7Zreaf_inv7.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/NrLXT7QGQXD2eAfYD_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/NweqmdZBkRAiqhi2d_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/NzRr6rsuB7XcpMNtF_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/Nziqm9DjMznP5sFp8_inv1.als","CORRECT",false,false,false,false,false,true,true
