elapsedNanos,usedHeapBytes,activeWorkers,phaseCounts
935061023,197333568,32,"raw-ast=32"
945145586,261263256,32,"normalize-temporal-skeleton=2;raw-ast=30"
955239629,323003512,31,"masg=1;normalize-prenex=1;normalize-saturation=1;normalize-temporal-skeleton=1;raw-ast=26"
965321043,388568000,32,"masg=1;normalize-alpha-beta-branch=1;normalize-nnf=1;raw-ast=29"
975372136,462176984,32,"normalize-reachable-egraph=1;normalize-saturation=1;raw-ast=30"
985459999,523689072,32,"normalize-post-prenex-nnf=1;normalize-temporal-skeleton=1;raw-ast=30"
999501869,125320008,32,"normalize-aci=1;normalize-nnf=1;normalize-prenex=2;raw-ast=28"
1009580913,205676912,32,"raw-ast=32"
1019658756,270041512,32,"masg=1;normalize-saturation=1;raw-ast=30"
1029734579,341902312,32,"masg=1;raw-ast=30"
1039815193,397667144,19,"normalize-post-prenex-nnf=1;raw-ast=19"
1049887056,411170088,0,""
