stage,samples,averageDurationNanos,totalDurationNanos,averageHeapDeltaBytes,totalPositiveHeapDeltaBytes,maxHeapDeltaBytes,averageUsedHeapBytes,maxUsedHeapBytes,averageActiveWorkers,averageRawAstNodes,averageMasgVertices,averageMasgEdges,averageNormalForms,averageQuantifiers,averageTemporalNodes,averageNormalizedNodes,averageProxyBytes
"canonical-metadata",3774,10180.465,38421074,-4204.146,132230096,3796248,245314340.833,570697064,31.554,0.000,0.000,0.000,1.100,1.424,1.100,11.941,1637.774
"canonical-prepared",1887,0.000,0,0.000,0,0,245022838.482,570697064,30.545,0.000,0.000,0.000,2.200,2.849,2.184,23.882,4910.618
"distance",1887,60629.174,114407251,39588.931,356011016,16382344,245073025.539,570697064,31.552,0.000,0.000,0.000,2.200,2.849,2.184,23.882,5045.346
"masg",1887,443475.160,836837627,825895.504,2340568736,34593664,246113950.457,570043560,31.517,0.000,24.753,39.292,0.000,0.000,0.000,0.000,5764.714
"normalize-aci",4152,20729.730,86069840,-168731.890,354014864,44295136,246049891.757,570697064,31.556,0.000,0.000,0.000,1.276,1.355,1.276,12.175,1678.559
"normalize-alpha-beta-branch",4152,74494.816,309302474,-494359.489,1097380688,14680064,245871231.763,570697064,31.532,0.000,0.000,0.000,1.276,0.104,1.276,17.542,2139.615
"normalize-nnf",4152,21024.920,87295468,43707.707,404071376,12582912,245991024.759,570697064,31.528,0.000,0.000,0.000,1.276,0.104,1.276,17.261,2108.135
"normalize-post-prenex-nnf",4152,25994.111,107927550,-21465.249,502019208,17316144,246207767.582,570697064,31.562,0.000,0.000,0.000,1.276,1.355,1.276,12.598,1726.008
"normalize-prenex",4152,114623.013,475914749,216399.131,1028794200,47271800,246218804.148,570697064,31.548,0.000,0.000,0.000,1.276,1.355,1.276,12.598,1726.008
"normalize-reachable-egraph",3774,6019.598,22717961,29554.556,111538896,6291456,245368002.567,570697064,31.560,0.000,0.000,0.000,1.100,1.424,1.100,11.941,1637.774
"normalize-saturation",4152,58635.219,243453429,-89857.443,784306424,24656848,245967695.981,570697064,31.557,0.000,0.000,0.000,1.276,1.355,1.276,12.162,1677.156
"normalize-temporal-negation",4152,2670.229,11086792,-49328.395,23735128,884736,245929145.021,570697064,31.553,0.000,0.000,0.000,1.276,1.355,1.276,12.163,1677.264
"normalize-temporal-skeleton",3774,101790.930,384158969,187404.524,976252656,15729040,246060777.740,570697064,31.434,0.000,0.000,0.000,1.100,0.000,1.100,20.737,2463.351
"raw-ast",2000,14786070.176,29572140351,5482794.500,85869394296,255288824,245430869.860,568599912,31.376,42.683,0.000,0.000,0.000,0.000,0.000,0.000,4097.520
"result-bookkeeping",1887,0.000,0,0.000,0,0,244956050.968,570697064,30.546,0.000,0.000,0.000,0.000,0.000,0.000,0.000,256.000
