elapsedNanos,threadId,stage,durationNanos,heapDeltaBytes,usedHeapBytes,activeWorkers,rawAstNodes,masgVertices,masgEdges,normalForms,quantifiers,temporalNodes,normalizedNodes,proxyBytes
93669568,33,"raw-ast",91592709,59768832,135420656,27,29,0,0,0,0,0,0,2784
93669668,55,"raw-ast",90666450,36700160,135420656,32,66,0,0,0,0,0,0,6336
93669738,38,"raw-ast",91403897,54525952,135420656,18,46,0,0,0,0,0,0,4416
93669938,50,"raw-ast",90932352,41943040,135420656,27,20,0,0,0,0,0,0,1920
93671808,30,"raw-ast",91721070,62914560,135420656,29,64,0,0,0,0,0,0,6144
93679698,28,"raw-ast",91820411,65011712,135420656,32,64,0,0,0,0,0,0,6144
93764849,46,"raw-ast",91230445,46137344,135420656,28,33,0,0,0,0,0,0,3168
93770839,45,"raw-ast",91267166,47185920,135420656,18,10,0,0,0,0,0,0,960
93803689,34,"raw-ast",91684719,58720256,135420656,22,92,0,0,0,0,0,0,8832
93945111,36,"raw-ast",91750310,57671680,136469232,23,45,0,0,0,0,0,0,4320
94063192,49,"raw-ast",91418857,44040192,136469232,27,51,0,0,0,0,0,0,4896
94070112,42,"raw-ast",91645369,51380224,136469232,30,88,0,0,0,0,0,0,8448
94137893,32,"raw-ast",92107664,61865984,136469232,22,24,0,0,0,0,0,0,2304
94195133,57,"raw-ast",91092764,35651584,136469232,24,17,0,0,0,0,0,0,1632
94202563,41,"raw-ast",91833501,52428800,136469232,16,65,0,0,0,0,0,0,6240
94327594,26,"raw-ast",92468617,66060288,136469232,20,17,0,0,0,0,0,0,1632
97160010,29,"raw-ast",95271012,68157440,139614960,19,22,0,0,0,0,0,0,2112
97850627,53,"raw-ast",94977580,42991616,139614960,15,40,0,0,0,0,0,0,3840
98006278,52,"raw-ast",95187582,44040192,139614960,14,36,0,0,0,0,0,0,3456
99565833,44,"raw-ast",97091200,54525952,141712112,13,41,0,0,0,0,0,0,3936
