relativePath,problemClass,status,leftPredicate,rightPredicate,success,equivalent,distance,parseNanos,engineNanos,totalNanos,parseCpuNanos,engineCpuNanos,totalCpuNanos,rawAstNodes,representationUnits,eclasses,enodes,unions,rebuilds,rewriteApplications,iterations,slots,slotMappings,redundantSlots,estimatedBytes,error
"classroom_fol/correct/MYxB5o4jPfDBQKar4_inv13.als","classroom_fol","CORRECT","inv13","inv13c",true,false,23,20718071,996851,21721122,2793969,984236,3782895,40,50,47,50,3,32,47,32,37,91,0,13496,""
"classroom_fol/correct/MajuW8ePCNYWHdmCP_inv1.als","classroom_fol","CORRECT","inv1","inv1c",true,false,9,1520621,226845,1752926,1521304,226989,1752693,19,25,23,25,2,1,4,1,7,17,0,6394,""
"classroom_fol/correct/Mg4JFh7h3SkhNWoZv_inv9.als","classroom_fol","CORRECT","inv9","inv9c",true,false,18,10065494,1042411,11114776,2300491,1043516,3348997,45,59,55,59,4,3,17,3,62,163,0,16450,""
"classroom_fol/correct/MmW6rg7kNGLjbSDR7_inv1.als","classroom_fol","CORRECT","inv1","inv1c",true,false,9,1215625,196694,1417919,1216385,196819,1417894,19,25,23,25,2,1,4,1,7,17,0,6394,""
"classroom_fol/correct/MovS95jKNvMYEFoPM_inv10.als","classroom_fol","CORRECT","inv10","inv10c",true,false,13,4270737,196634,4480071,1981002,196649,2189231,45,51,49,51,2,1,11,1,48,115,0,14160,""
"classroom_fol/correct/MqnoNGumpXiWBCdcA_inv3.als","classroom_fol","CORRECT","inv3","inv3c",true,false,13,9240418,242655,9489863,2321209,243229,2569718,25,40,37,40,3,2,9,2,15,38,0,10402,""
"classroom_fol/correct/MsfZ2Hk9Ncsh3e4Ps_inv7.als","classroom_fol","CORRECT","inv7","inv7c",true,false,12,8693587,426708,9137106,2404762,427098,2847420,36,45,43,45,2,1,9,1,29,69,0,12096,""
"classroom_fol/correct/MyDtiicX52L2nYSem_inv8.als","classroom_fol","CORRECT","inv8","inv8c",true,false,22,6882740,555262,7454092,2568949,548628,3130127,46,57,53,57,4,3,16,3,58,155,0,15880,""
"classroom_fol/correct/MykkkX883HMaXXX5Y_inv13.als","classroom_fol","CORRECT","inv13","inv13c",true,false,14,7012563,140723,7163426,2473051,140840,2622791,36,40,38,40,2,1,17,1,0,0,0,10190,""
"classroom_fol/correct/N5RptXchd77fW6oQi_inv7.als","classroom_fol","CORRECT","inv7","inv7c",true,false,12,3901479,190234,4111374,2249031,190280,2454391,36,45,43,45,2,1,9,1,29,69,0,12096,""
"classroom_fol/correct/N7DKzs8eoZoN4RXQD_inv14.als","classroom_fol","CORRECT","inv14","inv14c",true,false,36,6590324,1262056,7860230,2961737,1262105,4230792,79,118,112,118,6,4,33,4,168,407,0,33480,""
"classroom_fol/correct/N83YTuHD8eJu6HHu7_inv2.als","classroom_fol","CORRECT","inv2","inv2c",true,false,9,5506812,282436,5802718,2531901,282589,2826789,19,33,30,33,3,2,6,2,10,25,0,8346,""
"classroom_fol/correct/N98Qgou6dpybxiRvC_inv1.als","classroom_fol","CORRECT","inv1","inv1c",true,false,9,5768357,112212,5888389,2229479,112430,2348309,19,25,23,25,2,1,4,1,7,17,0,6394,""
"classroom_fol/correct/NDFRxmWcyi7T4G3c5_inv9.als","classroom_fol","CORRECT","inv9","inv9c",true,false,18,13737879,410169,14152778,2972507,410328,3386295,45,59,55,59,4,3,17,3,62,163,0,16450,""
"classroom_fol/correct/NHNcvh8aSLTi8Pe6u_inv4.als","classroom_fol","CORRECT","inv4","inv4c",true,false,14,6501152,263285,6771337,2100901,263579,2369340,27,40,37,40,3,2,10,2,15,38,0,10438,""
"classroom_fol/correct/NLhu58tu7ZamdMw9D_inv9.als","classroom_fol","CORRECT","inv9","inv9c",true,false,22,6372280,711685,7096545,2526930,712257,3250367,47,67,63,67,4,3,18,3,70,179,0,18514,""
"classroom_fol/correct/NPXL3NaZBmm4YYnus_inv5.als","classroom_fol","CORRECT","inv5","inv5c",true,false,17,5428081,181073,5614734,2053993,181229,2239932,28,39,37,39,2,1,7,1,21,49,0,10354,""
