Dummy for ref,QT_FORMULA,2,24
BOPEXPR_ARROW,Dummy for sig,1,107
UNOPF_SOME,BOPEXPR_MINUS,1,4
LIST_FORMULA_2,LIST_FORMULA_1,3,18
BOP_IMPLIES,UNOPF_BEFORE,2,3
UNOPF_NO,BOPEXPR_JOIN,1,685
LIST_FORMULA_1,UNOPF_HISTORICALLY,1,5
LIST_EXPR_1,Dummy for var,2,1
Dummy for ref,UNOPF_EVENTUALLY,1,47
BOP_EQ,3,2,2
BOP_EQ,Dummy for field,1,10
LIST_FORMULA_2,BOP_EQ,1,73
BOP_IMPLIES,UNOPF_ONE,1,13
BOP_IMPLIES,UNOPF_LONE,1,1
QT_FORMULA,RELDECL_1,3,9
UNOPF_SOME,BOPEXPR_INTERSECT,1,1186
BOP_IMPLIES,BOP_IN,2,1796
UNOPE_TRANSPOSE,BOPEXPR_DOMAIN,1,23
UNOPF_AFTER,UNOPF_NO,1,1
BOP_SINCE,UNOPF_ONE,2,6
Dummy for ref,BOP_NOT_IN,1,27
BOPEXPR_ONE_ARROW_ONE,BOPEXPR_ONE_ARROW_ONE,2,4
UNOPF_NOT,LIST_FORMULA_2,1,4
LIST_EXPR_1,BOPEXPR_JOIN,1,2
BOP_SINCE,UNOPF_HISTORICALLY,2,2
BOP_NOT_IN,Dummy for sig,2,635
Dummy for ref,UNOPF_NO,1,909
BOP_UNTIL,BOP_EQ,1,1
QT_EXPR,QT_FORMULA,1,120
BOP_RELEASES,BOP_EQ,2,37
UNOPF_ONE,BOPEXPR_JOIN,1,77
UNOPE_PRIME,Dummy for field,1,537
UNOPF_ALWAYS,BOP_SINCE,1,1
UNOPF_LONE,BOPEXPR_INTERSECT,1,270
Dummy for ref,BOPEXPR_JOIN,1,11
LIST_FORMULA_2,LIST_FORMULA_1,2,36
BOP_NOT_IN,BOPEXPR_JOIN,2,186
UNOPF_ONCE,LIST_FORMULA_1,1,4
BOPEXPR_SOME_ARROW_ANY,Dummy for sig,2,2
UNOPF_NOT,LIST_FORMULA_1,1,22
LIST_FORMULA_1,BOP_IN,2,2442
BOPEXPR_DOMAIN,Dummy for field,2,74
BOPEXPR_PLUS,BOPEXPR_JOIN,2,42
LIST_EXPR_1,<END>,3,5
