elapsedNanos,usedHeapBytes,activeWorkers,phaseCounts
1227922,61509248,0,""
11481477,71995008,8,"raw-ast=8"
21582170,71995008,8,"raw-ast=8"
31662434,76189312,8,"raw-ast=8"
41739147,82480768,8,"raw-ast=8"
51862831,84577920,8,"raw-ast=8"
61955605,86675072,8,"raw-ast=8"
72028408,89820800,1,"masg=1"
82112451,92966528,8,"normalize-temporal-skeleton=8"
92203075,99257984,7,"normalize-alpha-beta-branch=1;normalize-post-prenex-nnf=1;raw-ast=5"
102289849,102403712,8,"raw-ast=8"
112369592,105549440,8,"raw-ast=8"
122474446,116035200,8,"normalize-post-prenex-nnf=2;normalize-temporal-skeleton=1;raw-ast=5"
132559339,122326656,8,"raw-ast=7"
142649563,125472384,8,"normalize-alpha-beta-branch=1;raw-ast=7"
152731876,132812416,8,"raw-ast=8"
162815870,134909568,8,"raw-ast=8"
172892753,145395328,7,"raw-ast=7"
182970366,152735360,8,"raw-ast=8"
193053210,162172544,8,"raw-ast=8"
204534566,30243760,8,"raw-ast=8"
214613020,43678320,8,"normalize-post-prenex-nnf=1;normalize-temporal-skeleton=1;raw-ast=6"
224690133,56894424,8,"raw-ast=8"
234773907,70692928,8,"raw-ast=8"
244866740,100301424,8,"distance=1;masg=1;normalize-prenex=1;raw-ast=5"
254946224,134488744,8,"normalize-reachable-egraph=1;raw-ast=7"
265018227,170733680,7,"masg=1;normalize-reachable-egraph=1;raw-ast=6"
275066280,60427800,8,"normalize-post-prenex-nnf=1;raw-ast=7"
285128234,103931856,8,"raw-ast=8"
295198767,144267344,8,"normalize-prenex=1;raw-ast=7"
305276790,36945480,8,"normalize-temporal-skeleton=1;raw-ast=7"
315348124,77504016,8,"raw-ast=8"
325422807,116207472,7,"normalize-prenex=1;raw-ast=7"
335497410,168137768,8,"normalize-reachable-egraph=1;raw-ast=7"
345574824,64632504,8,"normalize-nnf=1;raw-ast=7"
355658167,111553936,7,"normalize-alpha-beta-branch=1;normalize-nnf=1;normalize-post-prenex-nnf=1;raw-ast=4"
365727720,153436440,8,"raw-ast=8"
375804134,195432216,8,"masg=1;raw-ast=7"
385875837,241554776,8,"normalize-saturation=1;raw-ast=6"
396424765,45342040,7,"normalize-saturation=2;raw-ast=5"
406514879,97114792,7,"raw-ast=7"
416584942,146128528,8,"normalize-temporal-skeleton=2;raw-ast=6"
426655025,199302864,8,"raw-ast=8"
436724239,246834480,8,"normalize-saturation=2;raw-ast=6"
