stage,samples,averageDurationNanos,totalDurationNanos,averageHeapDeltaBytes,totalPositiveHeapDeltaBytes,maxHeapDeltaBytes,averageUsedHeapBytes,maxUsedHeapBytes,averageActiveWorkers,averageRawAstNodes,averageMasgVertices,averageMasgEdges,averageNormalForms,averageQuantifiers,averageTemporalNodes,averageNormalizedNodes,averageProxyBytes
"canonical-metadata",3774,5454.430,20585017,27225.032,102747272,2097152,239011720.201,580272224,7.877,0.000,0.000,0.000,1.100,1.424,1.100,11.941,1637.774
"canonical-prepared",1887,0.000,0,0.000,0,0,238884099.989,580272224,6.870,0.000,0.000,0.000,2.200,2.849,2.184,23.882,4910.618
"distance",1887,23380.333,44118688,-74750.342,190743056,2745864,238811651.353,580272224,7.882,0.000,0.000,0.000,2.200,2.849,2.184,23.882,5045.346
"masg",1887,146344.961,276152942,234934.987,1128324952,5242880,239208414.656,579223648,7.856,0.000,24.753,39.292,0.000,0.000,0.000,0.000,5764.714
"normalize-aci",4152,8486.460,35235780,4607.719,252916048,3145728,239368768.233,580272224,7.884,0.000,0.000,0.000,1.276,1.355,1.276,12.175,1678.559
"normalize-alpha-beta-branch",4152,24776.751,102873069,109520.457,932701688,262385568,239284732.794,580272224,7.865,0.000,0.000,0.000,1.276,0.104,1.276,17.542,2139.615
"normalize-nnf",4152,8571.667,35589563,64598.516,268213040,4194304,239354152.227,580272224,7.879,0.000,0.000,0.000,1.276,0.104,1.276,17.261,2108.135
"normalize-post-prenex-nnf",4152,11681.870,48503124,69069.800,286777808,2751632,239358576.491,580272224,7.882,0.000,0.000,0.000,1.276,1.355,1.276,12.598,1726.008
"normalize-prenex",4152,22549.051,93623659,-116239.865,389001680,3145728,239243144.355,580272224,7.879,0.000,0.000,0.000,1.276,1.355,1.276,12.598,1726.008
"normalize-reachable-egraph",3774,3850.029,14530008,-41611.330,69437792,1322608,238980139.315,580272224,7.877,0.000,0.000,0.000,1.100,1.424,1.100,11.941,1637.774
"normalize-saturation",4152,24495.085,101703593,-262451.135,425246056,3145728,239111124.408,580272224,7.881,0.000,0.000,0.000,1.276,1.355,1.276,12.162,1677.156
"normalize-temporal-negation",4152,777.759,3229256,4370.574,18146624,1652112,239162929.031,580272224,7.877,0.000,0.000,0.000,1.276,1.355,1.276,12.163,1677.264
"normalize-temporal-skeleton",3774,35331.010,133339230,-2844.085,589344040,3324280,239188801.266,580272224,7.868,0.000,0.000,0.000,1.100,0.000,1.100,20.737,2463.351
"raw-ast",2000,3568814.429,7137628857,621268.064,27432878912,47330416,239387366.684,578175072,7.878,42.683,0.000,0.000,0.000,0.000,0.000,0.000,4097.520
"result-bookkeeping",1887,0.000,0,0.000,0,0,238815706.514,580272224,6.880,0.000,0.000,0.000,0.000,0.000,0.000,0.000,256.000
