relativePath,questionSet,statusFolder,invariantId,levenshteinDistance,rawAstDistance,canonicalDistance,levenshteinSize,rawAstSize,canonicalSize,levenshteinDistanceRatio,rawAstDistanceRatio,canonicalDistanceRatio,candidateReward,rewardError,rewardPoolSize,rewardErrorMessage
"classroom_fol/both/5wMXvP6Z5ckSKnnhx_inv11.als","classroom_fol","BOTH","inv11",24,14,9,61,23,14,0.393443,0.608696,0.642857,0.990000,0.010000,100,
"classroom_fol/both/5xxJrEKnCDswHR2qx_inv11.als","classroom_fol","BOTH","inv11",121,72,48,204,74,53,0.593137,0.972973,0.905660,0.630000,0.370000,100,
"classroom_fol/both/5yfvhDfJan6dWp5sy_inv14.als","classroom_fol","BOTH","inv14",40,28,7,136,45,23,0.294118,0.622222,0.304348,0.057600,0.942400,100,
"classroom_fol/both/5zoeD3LZ4jRQpTaMP_inv14.als","classroom_fol","BOTH","inv14",10,2,19,107,44,27,0.093458,0.045455,0.703704,0.999800,0.000200,100,
"classroom_fol/both/64XMFAnuKc9A3bfYB_inv15.als","classroom_fol","BOTH","inv15",75,30,23,113,38,27,0.663717,0.789474,0.851852,0.000000,1.000000,100,
"classroom_fol/both/65KjBjq7wRCTYKpxm_inv12.als","classroom_fol","BOTH","inv12",46,17,11,63,22,13,0.730159,0.772727,0.846154,0.010000,0.990000,100,
"classroom_fol/both/66JJEQ7yA7RZNq3NW_inv14.als","classroom_fol","BOTH","inv14",32,39,22,125,48,24,0.256000,0.812500,0.916667,0.202400,0.797600,100,
"classroom_fol/both/68p3AsoqpoBE8BZqp_inv13.als","classroom_fol","BOTH","inv13",25,10,5,28,11,6,0.892857,0.909091,0.833333,0.000000,1.000000,100,
"classroom_fol/both/68qBaJKzRPZWq2ZbH_inv9.als","classroom_fol","BOTH","inv9",11,9,4,36,14,8,0.305556,0.642857,0.500000,0.280000,0.720000,100,
"classroom_fol/both/68qLj4baHKcFWt4Gx_inv12.als","classroom_fol","BOTH","inv12",18,13,4,75,32,17,0.240000,0.406250,0.235294,0.178200,0.821800,100,
"classroom_fol/both/6CC5sasXAxbWGmScs_inv11.als","classroom_fol","BOTH","inv11",49,18,15,101,36,18,0.485149,0.500000,0.833333,0.000000,1.000000,100,
"classroom_fol/both/6DPJMWtMqw65Km3aX_inv14.als","classroom_fol","BOTH","inv14",59,24,17,105,34,23,0.561905,0.705882,0.739130,0.000000,1.000000,100,
"classroom_fol/both/6DqNw27MspkFaqgCF_inv12.als","classroom_fol","BOTH","inv12",32,10,9,83,30,15,0.385542,0.333333,0.600000,0.000000,1.000000,100,
"classroom_fol/both/6DvsLNJT4Z2xzdMDw_inv11.als","classroom_fol","BOTH","inv11",34,18,15,56,24,10,0.607143,0.750000,1.500000,0.028200,0.971800,100,
"classroom_fol/both/6GYf5xZKjDpmuRBkA_inv13.als","classroom_fol","BOTH","inv13",59,28,18,92,37,21,0.641304,0.756757,0.857143,0.009400,0.990600,100,
"classroom_fol/both/6JveuYuzsAHaPAQnq_inv12.als","classroom_fol","BOTH","inv12",39,19,8,66,25,11,0.590909,0.760000,0.727273,0.237600,0.762400,100,
"classroom_fol/both/6Kjr6CCrGcmKSLuwE_inv11.als","classroom_fol","BOTH","inv11",40,26,15,92,36,19,0.434783,0.722222,0.789474,0.010000,0.990000,100,
"classroom_fol/both/6RHRjmiEtrJNqw2JA_inv11.als","classroom_fol","BOTH","inv11",50,26,15,89,38,20,0.561798,0.684211,0.750000,0.010000,0.990000,100,
"classroom_fol/both/6XdJ7xy23z7R55itS_inv11.als","classroom_fol","BOTH","inv11",31,15,12,27,12,7,1.148148,1.250000,1.714286,0.000000,1.000000,100,
"classroom_fol/both/6agLZvTb43btaJLt9_inv8.als","classroom_fol","BOTH","inv8",6,2,2,49,19,9,0.122449,0.105263,0.222222,0.000000,1.000000,100,
"classroom_fol/both/6cS3Qxe7qZEkY5j2f_inv11.als","classroom_fol","BOTH","inv11",29,13,10,100,36,18,0.290000,0.361111,0.555556,0.630000,0.370000,100,
"classroom_fol/both/6cXukdxWY4iBWZSdJ_inv5.als","classroom_fol","BOTH","inv5",12,4,3,45,19,9,0.266667,0.210526,0.333333,0.000000,1.000000,100,
"classroom_fol/both/6eRSaH8tZjq5wKizH_inv5.als","classroom_fol","BOTH","inv5",15,8,4,46,18,9,0.326087,0.444444,0.444444,0.010000,0.990000,100,
"classroom_fol/both/6gE6ZajNEiQu863Fm_inv14.als","classroom_fol","BOTH","inv14",58,30,20,115,44,24,0.504348,0.681818,0.833333,0.313600,0.686400,100,
"classroom_fol/both/6iGrXELqmPLJF3Sa5_inv15.als","classroom_fol","BOTH","inv15",18,7,5,63,25,11,0.285714,0.280000,0.454545,0.000000,1.000000,100,
