elapsedNanos,usedHeapBytes,activeWorkers,phaseCounts
1120551,24509048,0,""
11354556,26606200,1,"raw-ast=1"
21466909,27654776,1,"raw-ast=1"
31537333,32897656,1,"raw-ast=1"
41610496,34994808,1,"raw-ast=1"
51685020,34994808,1,"masg=1"
61749993,36043384,0,""
71816787,37091960,1,"raw-ast=1"
81887050,39189112,1,"normalize-prenex=1"
91962374,41286264,1,"raw-ast=1"
102044607,43383416,1,"raw-ast=1"
112123001,46529144,1,"raw-ast=1"
122196144,49674872,1,"masg=1"
132271938,52820600,1,"raw-ast=1"
142344321,57014904,1,"raw-ast=1"
152419275,61209208,1,"raw-ast=1"
162498748,65403512,1,"raw-ast=1"
172585672,67500664,1,"raw-ast=1"
182669076,71694968,1,"raw-ast=1"
192747239,76937848,1,"masg=1"
202823673,80083576,1,"raw-ast=1"
212897896,84277880,1,"raw-ast=1"
222969010,88472184,1,"raw-ast=1"
233042863,93715064,1,"raw-ast=1"
243115117,98957944,1,"raw-ast=1"
253187060,104200824,1,"raw-ast=1"
263258984,108395128,1,"raw-ast=1"
273329597,113638008,1,"masg=1"
283403831,119929464,1,"normalize-temporal-skeleton=1"
293477384,125172344,1,"normalize-alpha-beta-branch=1"
303554068,133560952,1,"raw-ast=1"
313625751,140900984,1,"raw-ast=1"
323691965,147192440,1,"raw-ast=1"
333758058,154532472,1,"normalize-saturation=1"
343797041,160856712,1,"raw-ast=1"
353865545,168163960,1,"raw-ast=1"
363932728,175503992,1,"masg=1"
373998261,183892600,1,"raw-ast=1"
384064725,192281208,1,"raw-ast=1"
394129598,199621240,1,"raw-ast=1"
404206822,27307552,1,"normalize-reachable-egraph=1"
414275745,34647584,1,""
424346929,41987616,1,"raw-ast=1"
434418512,51424800,1,"raw-ast=1"
444495166,59813408,1,"raw-ast=1"
454566199,69250592,1,"normalize-alpha-beta-branch=1"
464638213,77639200,1,"raw-ast=1"
474708726,84979232,1,"raw-ast=1"
484790960,92319264,1,"masg=1"
494879063,99659296,1,"raw-ast=1"
504956917,108047904,1,"normalize-saturation=1"
515029930,115387936,1,"normalize-prenex=1"
525107244,121679392,1,"masg=1"
535177627,130068000,1,"raw-ast=1"
545248721,137408032,1,"raw-ast=1"
555319054,146845216,1,"raw-ast=1"
565390258,158379552,1,"raw-ast=1"
575467101,167816736,1,"raw-ast=1"
585543675,176205344,1,"raw-ast=1"
595619378,185642528,1,"raw-ast=1"
605698112,194031136,1,"normalize-post-prenex-nnf=1"
615769825,204516896,1,"raw-ast=1"
625851079,34440344,1,"raw-ast=1"
635926062,44926104,1,"raw-ast=1"
645957695,55411864,1,"raw-ast=1"
656036219,66946200,1,"raw-ast=1"
666108782,77431960,1,"raw-ast=1"
676179966,86869144,1,"normalize-saturation=1"
686249509,97354904,1,"normalize-saturation=1"
696332683,105743512,1,"raw-ast=1"
706408406,115180696,1,"raw-ast=1"
716487760,124617880,1,"raw-ast=1"
726558733,137200792,1,"raw-ast=1"
736628107,147686552,1,"raw-ast=1"
746699520,159220888,1,"raw-ast=1"
756769683,170755224,1,"raw-ast=1"
766804096,180192408,1,"raw-ast=1"
776880640,190678168,1,"raw-ast=1"
786956503,201163928,1,"raw-ast=1"
797022327,36652784,1,"raw-ast=1"
807087460,47138544,1,"raw-ast=1"
817156334,58672880,1,"raw-ast=1"
827266748,68110064,1,"normalize-temporal-skeleton=1"
837343161,76498672,1,"raw-ast=1"
847413495,89081584,1,"masg=1"
857479398,99567344,1,"normalize-prenex=1"
867548841,109004528,1,"masg=1"
877618085,118441712,1,"raw-ast=1"
887677408,128927472,1,"raw-ast=1"
897744781,138364656,1,"raw-ast=1"
907798915,147801840,1,"raw-ast=1"
917857378,158287600,1,"normalize-temporal-skeleton=1"
927923341,169821936,1,"raw-ast=1"
937996465,181356272,1,"raw-ast=1"
948061628,192890608,1,"normalize-temporal-skeleton=1"
958129772,205473520,1,"raw-ast=1"
968196065,44950200,1,"normalize-temporal-skeleton=1"
978262799,54387384,1,"raw-ast=1"
988370612,64873144,1,"raw-ast=1"
998442456,74310328,1,"raw-ast=1"
1008523709,84796088,1,"raw-ast=1"
1018591373,94233272,1,"raw-ast=1"
1028693987,105767608,1,"raw-ast=1"
1038760960,118350520,1,"raw-ast=1"
1048830633,130933432,1,"raw-ast=1"
1058908377,142467768,1,"raw-ast=1"
1068980200,154002104,1,"raw-ast=1"
1079061724,165536440,1,"raw-ast=1"
1089140077,178119352,1,"raw-ast=1"
