elapsedNanos,threadId,stage,durationNanos,heapDeltaBytes,usedHeapBytes,activeWorkers,rawAstNodes,masgVertices,masgEdges,normalForms,quantifiers,temporalNodes,normalizedNodes,proxyBytes
47087927,26,"raw-ast",45254730,9437184,34994808,1,17,0,0,0,0,0,0,1632
59384311,26,"masg",9076434,1048576,36043384,1,0,13,11,0,0,0,0,2488
63878783,26,"normalize-temporal-skeleton",1748266,1048576,37091960,1,0,0,0,2,0,2,8,1152
64927923,26,"normalize-alpha-beta-branch",58961,0,37091960,1,0,0,0,2,0,2,7,1040
64973323,26,"normalize-nnf",24030,0,37091960,1,0,0,0,2,0,2,7,1040
65006104,26,"normalize-prenex",23311,0,37091960,1,0,0,0,2,0,2,7,1040
65047824,26,"normalize-post-prenex-nnf",31910,0,37091960,1,0,0,0,2,0,2,7,1040
65085184,26,"normalize-aci",26790,0,37091960,1,0,0,0,2,0,2,7,1040
65126015,26,"normalize-saturation",29921,0,37091960,1,0,0,0,2,0,2,7,1040
65151255,26,"normalize-temporal-negation",15750,0,37091960,1,0,0,0,2,0,2,7,1040
65268056,26,"normalize-alpha-beta-branch",79221,0,37091960,1,0,0,0,2,0,2,7,1040
65319627,26,"normalize-nnf",30351,0,37091960,1,0,0,0,2,0,2,7,1040
65356257,26,"normalize-prenex",28340,0,37091960,1,0,0,0,2,0,2,7,1040
65421397,26,"normalize-post-prenex-nnf",57610,0,37091960,1,0,0,0,2,0,2,7,1040
65610419,26,"normalize-aci",169501,0,37091960,1,0,0,0,2,0,2,7,1040
65883982,26,"normalize-saturation",264023,0,37091960,1,0,0,0,2,0,2,7,1040
65899102,26,"normalize-temporal-negation",4510,0,37091960,1,0,0,0,2,0,2,7,1040
66119424,26,"normalize-reachable-egraph",200712,0,37091960,1,0,0,0,2,0,2,7,1040
66952612,26,"canonical-metadata",822068,0,37091960,1,0,0,0,2,0,2,7,1040
67035772,26,"normalize-temporal-skeleton",69810,0,37091960,1,0,0,0,1,0,1,6,800
67116323,26,"normalize-alpha-beta-branch",55810,0,37091960,1,0,0,0,1,0,1,5,688
67155944,26,"normalize-nnf",32711,0,37091960,1,0,0,0,1,0,1,5,688
67211154,26,"normalize-prenex",34430,0,37091960,1,0,0,0,1,0,1,5,688
67258074,26,"normalize-post-prenex-nnf",41110,0,37091960,1,0,0,0,1,0,1,5,688
67339555,26,"normalize-aci",74980,0,37091960,1,0,0,0,1,0,1,5,688
67385666,26,"normalize-saturation",40671,0,37091960,1,0,0,0,1,0,1,5,688
67393736,26,"normalize-temporal-negation",2190,0,37091960,1,0,0,0,1,0,1,5,688
67410686,26,"normalize-reachable-egraph",11240,0,37091960,1,0,0,0,1,0,1,5,688
67428086,26,"canonical-metadata",12470,0,37091960,1,0,0,0,1,0,1,5,688
67521467,26,"canonical-prepared",0,0,37091960,0,0,0,0,3,0,3,12,2496
68021152,26,"distance",496305,0,37091960,1,0,0,0,3,0,3,12,2576
68029832,26,"result-bookkeeping",0,0,37091960,0,0,0,0,0,0,0,0,256
77818193,26,"raw-ast",9661240,1048576,38140536,1,41,0,0,0,0,0,0,3936
79748181,26,"masg",1790117,1048576,39189112,1,0,24,36,0,0,0,0,5472
80242145,26,"normalize-temporal-skeleton",477094,0,39189112,1,0,0,0,1,0,1,31,3600
81274805,26,"normalize-alpha-beta-branch",879269,0,39189112,1,0,0,0,1,0,1,27,3152
