requirement_id	claim_class	claim_sha256
A2-13	P	ae517f5c70c038ebfbf71a9fec589ca0fdcc1df55870e1946c463c875072e326
A2-14	P	155ae3d4bcacf2992bc8fe1294c8ee5f6f5a550e0f246617a3a284c6e66c39c3
A2-15	I/P	b862e84d7ff5369124ec35570dd1c4eec6878b31c213210ffd13fb553e75b81c
A2-16	I	71a9d475059d53bdac10e484990b7e089460598f1f8ad9ceb043117f8b06e968
A2-17	U/I	1424fff8c9cd0a2b823fe7b322e13dee255ff94422964be6992567a63b6b842b
A2-18	U/I	8f67707d24cb3df11432cbf0529468db4ee503c5db4dcdac1ab41f1df9de0e3a
A2-19	U/I	214964f7934381d1d1a1c8e2cabef223ad3b949e3cd49e16df671163e3ba157b
A2-20	P	faa6f1a4c639f3ac9cd5995ee0bd1296074b428fb8ad5bcd81054619d1499009
A2-21	U/I	4bf2b29d09a49228b6013a04ae6d04576b2e092719bf27e3b9a9d320d0fdd6d3
A2-22	U/I	c4c3d3558acdd3162344346a38cf3f320b80486d1626ebdc8d7558cebf129a98
A2-23	U/I	88cd036c148f8baf6ed019c18205184021f9e037772881eb81e1c081ee9c7a2a
A2-24	U/I/P	b8a2af71393a0d31b4a39ecaa99be26a9e24b47701ff53b7370fff22db8749c7
A2-25	P	a216882498a514d63ccf4a77326d4b68e46ca2296012892d295bb0ec23687c0a
A2-26	I/P	2383859cecf4dbfa79f149e0308fde456c5fcb367993b813221961fbd99da6ad
A2-27	U/I/P	1718b5d1293b6aabd0d8f3099333fa7d5b8f97e411b1770d006c16f346c45222
P2-01	U/I	fac798f7c348cf4447dab6e756eed31855f2d049d4a111f93d8f9436cf283cf6
P2-02	U/I	c5ca655e734ee107312eb1f23afcd324739b4c8dfdbd3e89176d31462970c74b
P2-03	U	b88c887a749ff0e6eeae1d4c8fa25815daca7ca7633d857a8cb32440ef4dfeaa
P2-04	U	91f2da39d8b90aa362920d49a580ce4e9266bea034c9ffef4aca843880d1fd3a
P2-05	U/I	b114200dc3396e59e67239676d4d7fce5ceac56b6e9ff6799b889097c9d9339a
P2-06	U/I	2c839b74126cb1fffa416e6b93e58418d51d20025a4a2e7563dcf973734fcfec
P2-07	U/I	b708325769a359fe30bff6af5db19a53351beb8f8234089a125954b2c3206a7e
P2-08	U/I	afe3fc840f072921629394f4d7019b4c9c24a02a6b3f0361a2c7941d572cde9a
P2-09	F/I	1b09f2b05d0a34faa0905f9a65479aa22dd62a44670b64890dfcd54a0faab1d9
P2-10	F/I	7f50ea1852ffdf87e97206d78956e41ebd29722213bd795a426463e965356d72
P2-11	U/I	84f0e523ab22515d09625fd39b8a51d85d1343fd3b08073d0155422cd6d50208
P2-12	F/I	0083271a3f13bcbda49097a05889538db1bb3c9f8fc748645886f99ceeef705f
P2-13	F/I	045cfe4c36afdadece97e8bd66627907558813a515c99e3d60900c8c2165ed04
P2-14	U/I	90580fa8213530641731da222122de6b2857dac50b6d3b49f79241baae89d36e
P2-15	F/I	2987ffb5b4c7996dc25a09fa65e2b799709a45c8ef3338b67046ff90e368bf2b
P2-16	U/I	ae04f7e0f12a960156f639a69db652e044fdc8c2aa39cecf35b7d3132d53ef60
P2-17	U/I	653ed8713894b7003dd496fec5d9f34049bf2e2b4089a176324ee75e7424e527
P2-18	P	4dff4190a5709dd2253c47a941bd934e2b276bd595b7d9a4a581fd647b772735
P2-19	P	19ae22028dc1c50a3f7b92d54a236e8696c1b389ef204e6c5ae764cdab60a354
P2-20	I	96b8ce07afc0aad611a36396786a36cd235e5c553f40611962d168721e70b936
